Task_ID,Description,Required_Skills,Deadline,Priority,Estimated_Hours,Dependencies,Urgency_Score,AI_Confidence,Best_Employee,Backup_Employee,Skill_Gaps
TASK-1000,Industrial task #0,CAD,2025-04-10,Medium,2.4,None,0.57,84%,Carol,Henry,
TASK-1001,Industrial task #1,UI/UX|Electrical,2025-05-17,Low,16.0,None,0.61,87%,Alice,Carol,SQL
TASK-1002,Industrial task #2,C++|CAD|Embedded Systems,2025-04-12,High,23.7,TASK-1000,0.62,93%,Eve,Frank,CAD
TASK-1003,Industrial task #3,Data Analysis|Electrical|Python,2025-04-04,High,15.9,None,0.64,87%,Eve,Dave,Electrical
TASK-1004,Industrial task #4,SQL,2025-05-04,Medium,2.1,None,0.74,78%,Carol,Grace,C++
TASK-1005,Industrial task #5,Embedded Systems|CAD|AWS,2025-05-31,Low,32.9,None,0.59,89%,Bob,Dave,Embedded Systems
TASK-1006,Industrial task #6,Data Analysis,2025-05-11,High,25.9,None,0.56,81%,Alice,Grace,Electrical
TASK-1007,Industrial task #7,Embedded Systems|React|C++,2025-05-29,High,10.4,None,0.7,96%,Bob,Eve,Embedded Systems
TASK-1008,Industrial task #8,Electrical|UI/UX,2025-05-11,Medium,27.2,TASK-1007,0.53,87%,Carol,Alice,
TASK-1009,Industrial task #9,Electrical|AWS|CAD,2025-04-29,Medium,5.0,None,0.53,83%,Carol,Alice,
TASK-1010,Industrial task #10,SQL|Data Analysis,2025-04-25,High,34.1,None,0.63,85%,Carol,Grace,
TASK-1011,Industrial task #11,SQL,2025-04-07,High,16.1,TASK-1009,0.62,77%,Henry,Bob,C++
TASK-1012,Industrial task #12,C++|Embedded Systems|Python,2025-05-03,Medium,10.8,None,0.58,95%,Frank,Henry,Python
TASK-1013,Industrial task #13,Electrical|Data Analysis,2025-05-25,Medium,16.4,None,0.81,78%,Grace,Henry,
TASK-1014,Industrial task #14,AWS|Python|SQL,2025-04-05,High,15.1,None,0.68,94%,Alice,Henry,Data Analysis
TASK-1015,Industrial task #15,SQL,2025-05-27,Medium,36.3,TASK-1014,0.84,84%,Dave,Bob,Embedded Systems
TASK-1016,Industrial task #16,C++,2025-04-18,Medium,40.0,None,0.69,78%,Alice,Dave,
TASK-1017,Industrial task #17,C++|CAD,2025-04-04,Medium,5.8,None,0.64,72%,Grace,Carol,C++
TASK-1018,Industrial task #18,Electrical|React,2025-04-16,Low,10.0,None,0.72,91%,Alice,Henry,
TASK-1019,Industrial task #19,CAD|React,2025-05-16,High,10.4,None,0.65,84%,Frank,Henry,C++
TASK-1020,Industrial task #20,UI/UX,2025-04-14,High,39.2,None,0.59,87%,Frank,Henry,Python
TASK-1021,Industrial task #21,Python,2025-04-28,Medium,6.1,TASK-1020,0.56,91%,Grace,Frank,Embedded Systems
TASK-1022,Industrial task #22,C++|Data Analysis,2025-05-22,Medium,6.2,None,0.53,84%,Grace,Eve,Data Analysis
TASK-1023,Industrial task #23,C++,2025-05-05,Medium,30.3,TASK-1021,0.6,79%,Grace,Alice,Python
TASK-1024,Industrial task #24,React|AWS,2025-04-21,Medium,11.4,None,0.55,92%,Bob,Carol,Python
TASK-1025,Industrial task #25,Data Analysis|SQL,2025-04-24,High,25.3,None,0.6,78%,Frank,Bob,UI/UX
TASK-1026,Industrial task #26,C++|Electrical|UI/UX,2025-05-06,Medium,31.9,None,0.82,94%,Grace,Eve,
TASK-1027,Industrial task #27,C++|React|AWS,2025-05-04,High,8.5,None,0.69,93%,Frank,Dave,Embedded Systems
TASK-1028,Industrial task #28,CAD|Python|AWS,2025-04-17,High,9.1,None,0.71,83%,Bob,Alice,UI/UX
TASK-1029,Industrial task #29,Electrical|React|UI/UX,2025-05-27,High,29.1,None,0.6,83%,Dave,Frank,
TASK-1030,Industrial task #30,CAD|Embedded Systems,2025-05-31,High,26.6,None,0.67,93%,Henry,Dave,
TASK-1031,Industrial task #31,Embedded Systems|SQL|Electrical,2025-05-29,Medium,24.0,None,0.58,78%,Eve,Frank,C++
TASK-1032,Industrial task #32,CAD,2025-05-09,High,26.0,None,0.81,87%,Dave,Alice,Data Analysis
TASK-1033,Industrial task #33,AWS,2025-04-06,High,19.6,None,0.64,93%,Frank,Grace,AWS
TASK-1034,Industrial task #34,C++|AWS,2025-04-20,Medium,16.3,None,0.6,89%,Bob,Alice,Python
TASK-1035,Industrial task #35,AWS|UI/UX|Python,2025-05-16,Low,8.6,None,0.68,83%,Bob,Dave,
TASK-1036,Industrial task #36,C++|CAD,2025-05-11,High,31.5,None,0.57,88%,Henry,Eve,
TASK-1037,Industrial task #37,Data Analysis|Python,2025-05-01,Low,35.9,None,0.73,87%,Henry,Bob,
TASK-1038,Industrial task #38,AWS,2025-04-04,High,11.9,None,0.7,85%,Grace,Dave,Data Analysis
TASK-1039,Industrial task #39,AWS|React|Electrical,2025-04-26,Medium,32.6,None,0.63,87%,Alice,Frank,
TASK-1040,Industrial task #40,Embedded Systems|Python,2025-05-25,Medium,36.2,TASK-1039,0.59,92%,Bob,Eve,
TASK-1041,Industrial task #41,C++,2025-05-27,High,20.7,None,0.54,72%,Bob,Dave,
TASK-1042,Industrial task #42,CAD,2025-05-09,High,33.3,TASK-1040,0.53,85%,Frank,Henry,
TASK-1043,Industrial task #43,CAD|Embedded Systems,2025-04-23,Medium,12.0,None,0.53,78%,Grace,Frank,
